CASE,GENDER,SHOOTINGTYPE,RACE,LOCATION,STATE,YEAR,FATALITIES,WOUNDED,TOTALVICTIMS,LOCATIONTYPE,PRIORSIGNSOFMENTALILLNESS,WEAPONSOBTAINEDLEGALLY,WHEREWEAPONOBTAINED,TYPEOFWEAPONS,NUMWEAPONS
Chattanooga military recruitment center,Male,Mass,Middle Eastern,"Chattanooga, Tennessee",Tennessee,2015,5,2,7,Military,Yes,Yes,"On the internet, via Armslist.com",2 assault rifles; semiautomatic handgun,3
Charleston Church Shooting,Male,Mass,White,"Charleston, South Carolina",South Carolina,2015,9,1,10,Religious,No,Yes,"Shooter's Choice gun store in West Columbia, South Carolina",Handgun,1
Marysville-Pilchuck High School shooting,Male,Mass,Native American,"Marysville, Washington",Washington,2014,5,1,6,School,No,No,Gun was his father's.,Handgun,1
Alturas tribal shooting,Female,Mass,Native American,"Alturas, California",California,2014,4,2,6,Other,No,,Unknown,Two handguns and a butcher knife,2
Washington Navy Yard shooting,Male,Mass,Black,"Washington, D.C.",D.C.,2013,12,8,20,Military,Yes,Yes,Sharpshooters Small Arms Range,"Sawed-off shotgun, 2 boxes of shells; also a .45-caliber handgun taken from a security guard he shot at the scene.",1
Hialeah apartment shooting,Male,Mass,Latino,"Hialeah, Florida",Florida,2013,7,0,7,Other,Yes,Yes,Florida Gun Center,9mm semi-automatic handgun,1
Santa Monica rampage,Male,Spree,White,"Santa Monica, California",California,2013,6,3,9,Other,Yes,Yes,Assembled a rifle out of component parts.,"Assault rifle, high capacity magazines, antique handgun",2
Pinewood Village Apartment shooting,Male,Mass,Black,"Federal Way, Washington",Washington,2013,5,0,5,Other,No,Yes,Unknown,"Semiautomatic handgun, shotgun",2
Mohawk Valley shootings,Male,Spree,White,"Herkimer County, New York",New York,2013,5,2,7,Other,No,Yes,"Frank's Guns in Marcy, NY",Shotgun,1
Newtown school shooting,Male,Mass,White,"Newtown, Connecticut",Connecticut,2012,28,2,30,School,Yes,No,Stolen from mother,"Two semiautomatic handguns, one rifle (assault), one shotgun (assault)",4
Accent Signage Systems shooting,Male,Mass,White,"Minneapolis, Minnesota",Minnesota,2012,7,1,8,Workplace,Yes,Yes,Unknown,One semiautomatic handgun,1
Sikh temple shooting,Male,Mass,White,"Oak Creek, Wisconsin",Wisconsin,2012,7,3,10,Religious,Yes,Yes,Unknown,One semiautomatic handgun,1
Aurora theater shooting,Male,Mass,White,"Aurora, Colorado",Colorado,2012,12,58,70,Other,Yes,Yes,"Gander Mountain stores in Thornton and Aurora, Colo.; Bass Pro Shop in Denver, Colo.; BulkAmmo.com","Two semiautomatic handguns, one rifle (assault), one shotgun",4
Seattle cafe shooting,Male,Spree,White,"Seattle, Washington",Washington,2012,6,1,7,Other,Yes,Yes,"Bull's Eye Shooter Supply in Tacoma, Wash.",Two semiautomatic handguns,2
Oikos University killings,Male,Mass,Asian,"Oakland, California",California,2012,7,3,10,School,Yes,Yes,"Bullseye in Castro Valley, Calif.",One semiautomatic handgun,1
Su Jung Health Sauna shooting,Male,Mass,Asian,"Norcross, Georgia",Georgia,2012,5,0,5,Other,Yes,Yes,Unknown,One semiautomatic handgun,1
Seal Beach shooting,Male,Mass,White,"Seal Beach, California",California,2011,8,1,9,Other,Yes,Yes,Unknown,"Two semiautomatic handguns, one revolver",3
IHOP shooting,Male,Mass,Latino,"Carson City, Nevada",Nevada,2011,5,7,12,Other,Yes,Yes,Purchased from an individual,"Two rifles (both assault), one revolver",3
Tucson shooting,Male,Mass,White,"Tucson, Arizona",Arizona,2011,6,13,19,Other,Yes,Yes,"Sportsmen's Warehouse in Tucson, Ariz.",One semiautomatic handgun,1
Hartford Beer Distributor shooting,Male,Mass,Black,"Manchester, Connecticut",Connecticut,2010,9,2,11,Workplace,No,Yes,"Gun dealer in East Windsor, Conn.",Two semiautomatic handguns,2
Coffee shop police killings,Male,Mass,Black,"Parkland, Washington",Washington,2009,4,1,5,Other,Yes,No,Stolen from an individual in Seattle.,One semiautomatic handgun,1
Fort Hood massacre,Male,Mass,Other,"Fort Hood, Texas",Texas,2009,13,30,43,Military,Yes,Yes,"Guns Galore in Kileen, Texas",One semiautomatic handgun,1
Binghamton shootings,Male,Mass,Asian,"Binghamton, New York",New York,2009,14,4,18,Other,Yes,Yes,"Gander Mountain in Johnson City, N.Y.",Two semiautomatic handguns,2
Carthage nursing home shooting,Male,Mass,White,"Carthage, North Carolina",North Carolina,2009,8,3,11,Other,Yes,Yes,Local sporting goods stores and individuals,"One revolver, one shotgun",2
Atlantis Plastics shooting,Male,Mass,White,"Henderson, Kentucky",Kentucky,2008,6,1,7,Workplace,No,Yes,Unknown,One semiautomatic handgun,1
